,Colour,Cuteness,Emotions,Personal preference,Shape,Size
obj00.png,308,686,446,414,487,378
obj01.png,88,10,0,17,192,84
obj02.png,632,148,387,185,325,226
obj03.png,137,408,122,235,441,527
obj04.png,405,442,620,470,544,676
obj05.png,27,87,320,78,263,616
obj06.png,363,288,61,125,63,480
obj07.png,688,222,187,353,397,12
obj09.png,742,354,573,285,128,150
obj11.png,587,561,670,658,13,764
obj12.png,536,620,255,536,612,568
obj13.png,246,789,733,717,784,425
obj14.png,191,743,798,778,724,732
obj20.png,469,507,516,598,662,309
